Number,Gender,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Age,BloodType,Kilograms,FeetInches
1,male,Mr.,Alex,J,Williamson,Nielson,8/27/2012,4,A-,18.6,"3' 6"""
2,female,Mrs.,Courtney,W,Carreon,Bonetti,8/29/1996,20,O+,77.5,"5' 8"""
3,female,Mrs.,Janet,C,Olsen,Thomas,7/9/1995,21,A+,95.4,"5' 5"""
4,female,Ms.,Corrine,J,Oh,Noriega,8/15/2002,14,O+,37.3,"5' 8"""
5,female,Ms.,Miriam,R,Hernandez,Kirk,12/7/1996,19,AB+,69.7,"5' 2"""
6,female,Dr.,Judy,G,Coughlin,Bryant,10/9/1998,18,O-,74.2,"5' 8"""
7,female,Mrs.,Amber,T,Rodriquez,Slone,1/14/2001,15,A+,74.4,"5' 2"""
8,female,Ms.,Joanne,F,Ewart,Jameson,7/4/1998,18,AB+,81.9,"5' 6"""
9,female,Ms.,Shannon,S,Jones,Price,8/8/2012,4,A+,13.9,"3' 5"""
10,female,Ms.,Diana,S,Taylor,Hinojosa,11/23/1998,17,O+,78.9,"5' 9"""
11,female,Mrs.,Glenda,B,Spier,Wills,2/2/1996,20,O+,81.6,"5' 4"""
12,female,Ms.,Dorothy,R,Payne,Mays,7/24/2007,9,A+,22.0,"4' 2"""
13,female,Mrs.,Darleen,M,King,Perry,8/20/2013,3,B+,12.1,"3' 0"""
14,female,Ms.,Christine,D,Nelson,Dupuis,12/1/2006,9,A+,43.4,"4' 7"""
15,female,Ms.,Melanie,P,Joseph,Sharp,1/25/2006,10,O+,44.9,"4' 2"""
16,female,Mrs.,Elizabeth,B,Wilson,Heavner,9/28/2004,12,B+,64.7,"5' 4"""
17,female,Ms.,Barbara,B,Myers,Gomes,1/19/2005,11,A+,27.9,"4' 6"""
18,female,Ms.,Victoria,G,Barron,Valle,10/25/2003,13,B+,65.8,"4' 9"""
19,female,Mrs.,Donna,D,Wilson,McCallister,8/16/2005,11,A+,35.3,"4' 4"""
20,female,Mrs.,Toni,R,Lloyd,Martin,12/27/2012,3,A+,16.7,"3' 4"""
21,female,Mrs.,Cindy,C,Lee,Gunter,5/23/2002,14,A+,69.6,"5' 1"""
22,female,Ms.,Leona,B,Saucedo,Norris,3/18/1996,20,O+,82.2,"5' 3"""
23,female,Ms.,Jenna,C,Timothy,Goins,7/10/2010,6,B+,16.7,"3' 9"""
24,female,Mrs.,Faye,G,Coke,Spradlin,8/27/2008,8,A-,26.8,"4' 7"""
25,female,Ms.,Margaret,R,McGurk,Summers,5/19/1996,20,A+,55.4,"5' 8"""
26,female,Mrs.,Denise,R,Henry,Liu,8/29/2008,8,O-,24.9,"4' 4"""
27,female,Mrs.,Patricia,B,Ruggerio,Engels,8/15/2008,8,O+,19.2,"4' 7"""
28,female,Mrs.,Marilyn,J,Roman,Pavone,12/26/1997,18,A+,79.8,"5' 2"""
29,female,Ms.,Cynthia,C,Austin,Woodard,4/13/2014,2,B+,10.6,"2' 10"""
30,female,Mrs.,Heather,R,Jones,Black,5/28/2002,14,B+,52.9,"5' 3"""
31,female,Ms.,Christine,J,Riley,Menchaca,10/29/2007,9,A+,41.7,"4' 0"""
32,female,Mrs.,Ingrid,B,Greco,Bish,5/7/2012,4,O+,21.3,"3' 1"""
33,female,Mrs.,Barbara,F,Brooks,Lish,3/14/1996,20,O+,45.0,"5' 3"""
34,female,Mrs.,Marisol,E,Richards,Widner,8/6/2010,6,O+,25.7,"4' 0"""
35,female,Mrs.,Margarita,R,Cleveland,Packer,4/3/2009,7,AB+,27.9,"3' 10"""
36,female,Mrs.,Mary,J,Pittman,Chapman,9/28/2003,13,A+,34.3,"5' 7"""
37,female,Mrs.,Susie,V,Michael,Wimbley,8/20/1997,19,A+,58.1,"5' 1"""
38,female,Ms.,Kelli,R,Jones,Settles,10/28/1999,17,O+,54.1,"5' 1"""
39,female,Ms.,Beverly,S,Smith,Williams,12/29/2011,4,O+,17.4,"3' 6"""
40,female,Ms.,Anne,H,Morales,Thompson,7/24/2008,8,O+,29.3,"4' 4"""
41,female,Ms.,Yolanda,T,Steinmetz,Longoria,2/20/2005,11,A+,41.0,"4' 11"""
42,female,Mrs.,Cruz,R,Hendren,Cavanaugh,5/12/2014,2,B+,9.5,"3' 0"""
43,female,Ms.,Stormy,D,Smith,Morgan,10/31/1996,20,A+,84.1,"5' 1"""
44,female,Ms.,Anna,B,Hayes,Galusha,6/10/1994,22,B+,56.9,"5' 3"""
45,female,Ms.,Susan,R,Hawkins,Iler,10/16/1999,17,B+,79.8,"5' 9"""
46,female,Mrs.,Marian,F,Lilly,Kelley,3/11/1994,22,A+,68.5,"5' 6"""
47,female,Ms.,Doris,Z,Harris,Cole,8/11/1997,19,O+,47.3,"5' 8"""
48,female,Mrs.,Enid,R,Bishop,Crider,8/31/1995,21,AB+,71.4,"5' 7"""
49,female,Ms.,Megan,S,Clark,Ramirez,2/27/2002,14,A+,43.9,"5' 1"""
50,female,Mrs.,Melissa,J,Hampton,Nicholson,11/1/1995,21,A+,72.8,"5' 5"""
51,female,Ms.,Janet,J,Dillon,Lawson,6/27/2012,4,A+,21.3,"3' 4"""
52,female,Ms.,Tracie,E,Alcorn,Strunk,8/7/2011,5,B+,22.6,"3' 5"""
53,female,Ms.,Nicole,B,Geier,Chappell,6/22/2007,9,A+,42.8,"4' 2"""
54,female,Mrs.,Sonja,C,Hopkins,Holder,1/5/2003,13,O+,40.4,"4' 9"""
55,female,Ms.,Kristen,J,Denny,West,8/20/2012,4,O-,19.9,"3' 6"""
56,female,Ms.,Erin,C,Lott,Rogers,12/22/1996,19,A+,56.9,"5' 8"""
57,female,Mrs.,Valerie,C,Mays,Shiffer,8/22/2013,3,A+,11.3,"2' 11"""
58,female,Ms.,Donna,D,Chung,Blankenship,6/3/1999,17,B+,60.5,"5' 7"""
59,female,Mrs.,Brittany,M,Gall,Henderson,5/3/2005,11,O+,33.2,"4' 4"""
60,female,Mrs.,Beverly,S,Hatmaker,Sherry,1/26/2005,11,A+,35.0,"4' 9"""
61,female,Mrs.,Colette,B,Miller,Keen,7/13/2013,3,O+,16.1,"3' 1"""
62,female,Mrs.,Elizabeth,T,Scanlan,Blackwell,5/17/2001,15,A+,51.1,"5' 5"""
63,female,Mrs.,Stacey,C,Goulet,Ramirez,9/10/2012,4,O+,21.3,"3' 1"""
64,female,Mrs.,Caroline,A,Allred,Ringgold,1/28/2009,7,O+,28.9,"3' 10"""
65,female,Ms.,Maria,K,Stucky,Collins,10/12/2000,16,A+,59.1,"5' 5"""
66,female,Mrs.,Terry,T,Holt,Kincaid,3/26/2006,10,O+,37.4,"4' 7"""
67,female,Ms.,Maria,W,Williams,Martinson,6/30/1994,22,B+,72.9,"5' 3"""
68,female,Mrs.,Jan,J,Haubrich,Turner,4/16/2006,10,A+,26.2,"4' 9"""
69,female,Ms.,Michelle,W,Maddux,Tapia,9/29/2006,10,O-,29.9,"4' 3"""
70,female,Ms.,Valencia,C,Cook,Smith,5/21/1994,22,O+,73.2,"5' 2"""
71,female,Ms.,Nancy,E,Cayton,Schaeffer,10/18/1995,21,B+,86.1,"5' 9"""
72,female,Ms.,Natalie,G,Hamilton,Diggins,5/20/2003,13,B+,58.6,"5' 1"""
73,female,Mrs.,Evelyn,P,Barnes,McClain,5/25/2014,2,B+,12.2,"2' 9"""
74,female,Ms.,Vicki,E,Graham,Sherman,10/16/1998,18,A+,66.7,"5' 3"""
75,female,Ms.,Joann,K,Boucher,Anderson,8/22/2005,11,O+,29.2,"4' 7"""
76,female,Mrs.,Virginia,B,Vaughn,Hertel,6/28/2004,12,A+,64.5,"5' 3"""
