Number,Title,GivenName,MiddleInitial,Surname,MothersMaiden,Birthday,Gender,Age,BloodType,Kilograms,FeetInches
1,Mr.,Dan,J,Hatfield,Smith,10/18/2001,male,15,A+,52.6,"5' 10"""
2,Mr.,Joel,M,Hatfield,Blackmore,4/5/2013,male,3,B+,11.2,"2' 11"""
3,Mr.,Charles,L,Harwood,Chandler,12/17/2002,male,13,AB-,68.3,"5' 4"""
4,Mr.,James,L,Francis,Stanley,4/15/1999,male,17,O-,77.6,"5' 8"""
5,Mr.,Steven,L,Cunningham,Chasteen,8/4/2002,male,14,A+,40.0,"4' 11"""
6,Mr.,Francis,K,Pruitt,Hoffman,5/22/2009,male,7,A+,23.8,"3' 9"""
7,Mr.,Tracy,C,Faulk,White,3/18/1998,male,18,B+,90.3,"5' 10"""
8,Mr.,Michael,R,Vu,Dabbs,10/16/2014,male,2,O+,11.0,"2' 10"""
9,Mr.,Glen,J,Watson,Thornton,5/1/2011,male,5,O+,20.7,"3' 6"""
10,Mr.,Robert,N,Kelly,Johnson,5/11/1995,male,21,B+,69.0,"5' 9"""
11,Mr.,John,R,Couture,Brown,6/22/2005,male,11,A+,49.7,"4' 6"""
12,Mr.,Robert,B,Kimball,Everett,7/6/1998,male,18,O+,94.6,"6' 2"""
13,Mr.,William,W,Johnson,Nelson,8/6/2012,male,4,AB-,19.5,"3' 7"""
14,Mr.,Charles,M,Bubb,Adams,1/24/2002,male,14,B+,52.7,"5' 7"""
15,Mr.,David,L,Wisner,Weathers,3/25/2014,male,2,O-,12.3,"2' 8"""
16,Mr.,Ted,T,Desimone,Henry,11/14/2011,male,5,A-,21.9,"3' 10"""
17,Mr.,Leland,L,Fredricks,Strack,1/18/2003,male,13,O+,69.7,"5' 5"""
18,Mr.,Daniel,M,Weaver,Cox,10/5/2001,male,15,O+,50.6,"6' 0"""
19,Mr.,James,E,McGuinness,Hopper,3/27/2000,male,16,B+,74.6,"5' 10"""
20,Mr.,David,N,Koepp,Roman,11/13/2014,male,2,O+,10.6,"2' 9"""
21,Mr.,Garrett,B,Jackson,Seymour,4/13/2002,male,14,B+,40.7,"5' 10"""
22,Mr.,Jeremy,S,Holt,Akins,5/17/2004,male,12,B+,41.6,"4' 7"""
23,Mr.,Gregory,J,Chmura,Easley,12/16/2000,male,15,O+,43.5,"5' 5"""
24,Mr.,Jacob,C,Pough,Rubino,10/4/2009,male,7,O+,21.5,"4' 4"""
25,Mr.,Erick,H,Montgomery,Huber,7/28/2006,male,10,O+,42.9,"4' 9"""
26,Mr.,John,B,Braun,Selby,5/29/1999,male,17,A+,51.0,"5' 8"""
27,Mr.,Ernest,G,Ramos,Eden,11/23/2004,male,11,A+,35.1,"5' 1"""
28,Mr.,Mark,B,Tanner,Contreras,1/5/1999,male,17,O-,55.8,"5' 3"""
29,Mr.,Frank,I,Mackenzie,Patterson,8/19/2007,male,9,O-,25.1,"4' 3"""
30,Mr.,Henry,I,Jantzen,Jacobson,4/10/1996,male,20,A+,80.9,"5' 7"""
31,Mr.,Keith,B,Musgrave,Dudley,10/12/2000,male,16,O+,69.1,"5' 8"""
32,Mr.,Jason,H,Rodriques,Martin,8/26/1998,male,18,O+,86.2,"6' 1"""
33,Mr.,Vincent,R,Higgins,Oliver,10/6/2007,male,9,A+,22.1,"4' 3"""
34,Mr.,George,P,Bourgoin,Chunn,11/19/1999,male,17,O+,78.5,"5' 10"""
35,Mr.,Eric,K,Howard,Owen,7/14/1997,male,19,O+,57.2,"6' 2"""
36,Mr.,Gary,K,Vincent,McSpadden,3/18/1994,male,22,O+,97.4,"6' 0"""
37,Mr.,Kieth,S,Russo,Wheat,12/1/2013,male,2,O+,13.7,"2' 8"""
38,Mr.,Larry,C,Roberts,Witt,4/26/2011,male,5,A+,15.1,"3' 9"""
39,Mr.,Robert,P,Cadwallader,Barnhill,2/4/2013,male,3,O+,12.9,"3' 3"""
40,Mr.,Rodney,L,Smith,Garrett,11/5/2008,male,8,O+,27.9,"4' 3"""
41,Mr.,Paul,B,Herrera,Chun,3/13/2008,male,8,A+,33.7,"3' 10"""
42,Dr.,Edward,T,Lewis,Hartley,1/17/2014,male,2,B+,10.3,"2' 8"""
43,Mr.,John,M,Terrell,Wildermuth,2/19/1999,male,17,O+,73.5,"5' 8"""
44,Mr.,William,T,Neveu,Martinez,3/28/2013,male,3,AB+,13.0,"3' 2"""
45,Mr.,Richard,M,Fenn,Byrne,12/24/2002,male,13,B+,53.2,"5' 1"""
46,Mr.,Antone,B,Desimone,Henderson,4/14/2006,male,10,O-,42.4,"4' 5"""
47,Mr.,Herbert,M,Midgley,Barrett,11/23/2008,male,7,O+,29.8,"4' 0"""
48,Mr.,Clyde,E,Joseph,Conder,4/4/2005,male,11,B+,32.9,"4' 4"""
49,Mr.,Jason,P,McNair,Lasher,1/26/2009,male,7,O-,27.0,"3' 8"""
50,Mr.,Frank,F,Fields,Jenkins,5/26/1994,male,22,B+,88.7,"5' 10"""
51,Mr.,Bernard,C,Cortez,Williams,3/14/2011,male,5,B+,23.3,"3' 6"""
52,Mr.,Juan,G,Miller,Quezada,9/12/2005,male,11,O+,29.4,"5' 0"""
53,Mr.,Dominic,M,Guadalupe,Karim,1/10/2006,male,10,A+,42.0,"4' 10"""
54,Mr.,Craig,J,Creason,Jones,10/21/2005,male,11,O+,30.1,"4' 4"""
55,Mr.,Ray,C,Mattox,Haupt,9/2/2003,male,13,O+,43.1,"5' 4"""
56,Mr.,Richard,M,Smith,Arredondo,7/31/1995,male,21,A+,107.8,"5' 11"""
57,Mr.,Benjamin,L,Griffiths,Fedler,5/9/2000,male,16,O-,60.3,"5' 4"""
58,Mr.,George,C,Reeves,Fajardo,6/2/2001,male,15,O+,72.5,"5' 6"""
59,Mr.,Daniel,H,Taylor,Gilmore,3/24/2012,male,4,O+,18.8,"3' 5"""
60,Mr.,Eric,W,Garrett,Kramer,9/27/2005,male,11,AB+,32.0,"4' 4"""
61,Mr.,Michael,K,Nichols,Stevens,9/15/1997,male,19,A+,74.2,"6' 2"""
62,Mr.,John,M,Campbell,Valle,1/29/1997,male,19,A+,99.9,"5' 9"""
63,Mr.,Dick,S,Brown,Flowers,7/15/2010,male,6,AB-,20.8,"3' 9"""
64,Mr.,Alex,E,White,Kirk,3/3/1997,male,19,O+,64.6,"6' 0"""
65,Mr.,Mark,G,Lester,Hambleton,3/20/2014,male,2,B+,15.2,"2' 10"""
66,Mr.,Brian,L,Veach,Evatt,6/11/1994,male,22,B+,106.7,"5' 6"""
67,Mr.,Hipolito,T,Alex,Wallace,1/4/2013,male,3,B+,17.2,"3' 3"""
68,Mr.,Charles,J,Velazquez,Richmond,2/13/1997,male,19,O+,89.2,"6' 2"""
69,Mr.,James,E,Anderson,Buller,9/28/2014,male,2,B+,14.6,"2' 10"""
70,Mr.,Michael,I,Palmer,Pruett,10/26/1999,male,17,O+,74.9,"6' 2"""
71,Mr.,Todd,R,Butler,Price,5/20/2007,male,9,O+,42.6,"4' 4"""
72,Mr.,Robert,S,Mayton,Wiles,10/29/2008,male,8,B+,31.2,"4' 6"""
73,Mr.,Forrest,A,Philpot,Butler,6/3/2004,male,12,O+,44.6,"5' 0"""
74,Mr.,Harold,N,Font,White,7/6/2008,male,8,B+,23.2,"3' 10"""
75,Mr.,Bennett,S,Cramer,Gentry,1/15/2004,male,12,A+,52.1,"4' 9"""
76,Mr.,Robert,H,Stoltzfus,Garrison,12/22/1993,male,22,O+,103.7,"5' 8"""
77,Mr.,Carlos,Y,Lawson,Freitas,6/7/1994,male,22,O+,95.7,"5' 11"""
78,Mr.,Kevin,E,Paul,Gunter,11/26/1999,male,16,A+,68.0,"5' 6"""
79,Mr.,Leroy,W,Johnson,Morrison,5/15/2000,male,16,O-,73.4,"5' 8"""
80,Mr.,Edwin,L,Moore,Brogan,5/23/1994,male,22,A+,64.5,"5' 7"""
81,Mr.,Ira,T,Simpson,Golston,8/8/2010,male,6,O+,26.8,"4' 0"""
82,Mr.,Jesse,L,Thomas,Smith,12/8/2006,male,9,AB+,27.9,"4' 7"""
83,Mr.,Lloyd,J,McNeel,Joseph,4/11/1996,male,20,O+,54.9,"5' 9"""
84,Mr.,Jimmie,C,Hugo,Kerrigan,4/4/2002,male,14,A+,57.4,"5' 10"""
85,Mr.,Charles,C,Cooke,Tobar,2/26/2014,male,2,AB+,14.3,"2' 9"""
86,Mr.,Ryan,S,Brantley,Bailey,7/12/2000,male,16,B+,59.5,"5' 8"""
87,Mr.,Scott,J,Urquhart,Brown,12/28/2001,male,14,O+,57.0,"5' 4"""
88,Mr.,James,K,White,Edwards,1/9/1999,male,17,AB+,82.7,"5' 6"""
89,Mr.,Nicholas,P,Grimes,Golder,5/25/2004,male,12,A-,30.2,"4' 6"""
90,Mr.,Jay,A,Fletcher,Kelley,5/29/2003,male,13,O+,66.9,"5' 6"""
91,Mr.,John,J,Santos,Engel,1/12/1999,male,17,AB+,92.4,"5' 10"""
92,Mr.,Loren,M,Southern,Moore,9/22/2007,male,9,A+,31.1,"4' 8"""
93,Mr.,Michael,M,Lattimer,Stevens,3/2/2001,male,15,O-,53.0,"5' 6"""
94,Mr.,Derrick,L,Jones,Velasquez,5/28/2001,male,15,O+,53.3,"5' 9"""
95,Mr.,Taylor,J,Poe,Thompson,6/7/1999,male,17,AB+,57.1,"5' 9"""
96,Mr.,Lucas,G,Watson,Aguayo,2/28/2012,male,4,O+,21.9,"3' 2"""
97,Mr.,Ben,S,Foster,Kluge,3/27/2004,male,12,B+,31.3,"5' 1"""
98,Mr.,Stephen,S,Cooper,Weaver,9/18/2006,male,10,O+,48.1,"4' 11"""
99,Mr.,James,N,Buchanon,Sakai,4/21/1995,male,21,O+,84.7,"5' 10"""
100,Mr.,Samuel,S,Schmidt,Rosser,7/10/2011,male,5,O+,24.8,"3' 4"""
101,Mr.,Daniel,D,Stevenson,Paras,12/23/1999,male,16,B+,46.1,"5' 5"""
102,Mr.,John,K,Davis,Miller,7/31/2012,male,4,O+,15.0,"3' 6"""
103,Mr.,Stephen,B,Redd,Rothman,9/2/2001,male,15,B-,74.3,"5' 11"""
104,Mr.,Juan,M,Heller,Plaza,4/11/2013,male,3,O+,18.6,"3' 3"""
105,Mr.,Jon,T,Bachman,White,6/28/2007,male,9,O+,35.0,"4' 2"""
106,Mr.,Jason,N,Hall,Keller,10/14/1994,male,22,A+,72.7,"6' 1"""
107,Mr.,Roland,A,Harden,Card,6/21/2008,male,8,O+,22.1,"4' 5"""
108,Mr.,Jared,A,Morris,Beam,12/13/2003,male,12,O+,30.4,"4' 8"""
109,Mr.,Harold,M,Kantor,Ainsworth,4/29/2001,male,15,O-,51.7,"6' 0"""
110,Mr.,Curtis,E,Bennett,Caroll,5/11/2000,male,16,A+,63.7,"5' 7"""
111,Mr.,James,A,Douglas,Fleming,6/25/2006,male,10,A+,47.0,"4' 8"""
